id_evento,evento annullato?,programma ufficiale,titolo_evento,id_luogo,nome_luogo,comune,provicia,indirizzo,latitudine,longitudine,luogo_unique_name
4677,NO,NO,Lucania Ludica,532,Podus - Mangio Dunque Sono,Grottole,Matera,Contrada Bosco Coste,40.621176,16.410949,Podus - Mangio Dunque Sono (Grottole)
2833,NO,NO,"Lucania. La Mia Terra, La Mia Gente",201,Circolo La Scaletta,Matera,Matera,Via Sette Dolori 10,40.66659,16.60958,Circolo La Scaletta (Matera)
3420,NO,SI,Lucaniattiva,442,Osservatorio Astronomico,Castelgrande,Potenza,Località Toppo,40.818890,15.464341,Osservatorio Astronomico (Castelgrande)
3937,NO,SI,Lucaniattiva,391,Municipio,San Fele,Potenza,Via Giuseppe Mazzini 9,40.820756,15.540143,Municipio (San Fele)
2331,NO,NO,Luce - LUcania Cycling Experience,523,Piazza Vittorio Veneto,Matera,Matera,Piazza Vittorio Veneto,40.666916,16.606227,Piazza Vittorio Veneto (Matera)
4123,NO,NO,Luce di sincrotrone e Beni Culturali,571,Scuola Di Alta Formazione E Studio Iscr - Istituto Superiore Per La Conservazione Ed Il Restauro,Matera,Matera,Via Luigi Lavista 5,40.665709,16.606122,Scuola Di Alta Formazione E Studio Iscr - Istituto Superiore Per La Conservazione Ed Il Restauro (Matera)
2175,NO,NO,Luce Phòs,417,Museo Archeologico Nazionale Del Melfese 'Massimo Pallottino',Melfi,Potenza,Via Normanni,40.99836,15.65284,Museo Archeologico Nazionale Del Melfese 'Massimo Pallottino' (Melfi)
2332,NO,NO,Lucio&Lucio - Storie e canzoni parallele,223,El Tablao,Matera,Matera,Via Cesare Beccaria 10,40.6686586,16.6047758,El Tablao (Matera)
3534,NO,NO,LUCity // From Anecdote to Evidence,146,Centro Iac,Matera,Matera,Via Casalnuovo 156,40.6598287,16.6144235,Centro Iac (Matera)
4676,NO,SI,Lucus a Lucendo,195,Cinema Il Piccolo,Matera,Matera,Via XX Settembre 14,40.66805,16.60663,Cinema Il Piccolo (Matera)
4421,NO,SI,Ludopark,519,Piazza Umberto I,Pisticci,Matera,Piazza Umberto I,40.389995,16.5556656,Piazza Umberto I (Pisticci)
3356,NO,SI,Ludopark,43,Abbazia di San Michele Arcangelo,Montescaglioso,Matera,Piazza Del Popolo 14,40.558247,16.664195,Abbazia di San Michele Arcangelo (Montescaglioso)
3100,NO,SI,Ludopark,506,Piazza Mario Pagano,Potenza,Potenza,Piazza Mario Pagano,40.638375,15.802324,Piazza Mario Pagano (Potenza)
2999,NO,SI,Ludopark,435,Open Design School - Casino Padula,Matera,Matera,Via Dei Pesci,40.642424,16.624893,Open Design School - Casino Padula (Matera)
3940,NO,SI,Ludopark,77,Biblioteca Provinciale T. Stigliani,Matera,Matera,Piazza Vittorio Veneto,40.667170,16.605515,Biblioteca Provinciale T. Stigliani (Matera)
3195,NO,SI,Ludopark,77,Biblioteca Provinciale T. Stigliani,Matera,Matera,Piazza Vittorio Veneto,40.667170,16.605515,Biblioteca Provinciale T. Stigliani (Matera)
4138,NO,SI,Ludopark,77,Biblioteca Provinciale T. Stigliani,Matera,Matera,Piazza Vittorio Veneto,40.667170,16.605515,Biblioteca Provinciale T. Stigliani (Matera)
2615,NO,SI,Ludopark,203,Complesso Del Casale,Matera,Matera,Via Casale 63,40.668838,16.610581,Complesso Del Casale (Matera)
4045,NO,SI,Luigi Coppola nel giardino di Casino Padula,435,Open Design School - Casino Padula,Matera,Matera,Via Dei Pesci,40.642424,16.624893,Open Design School - Casino Padula (Matera)
4148,NO,SI,Luigi Coppola nel giardino di San Mauro Forte,260,Giardino Di Comunità,San Mauro Forte,Matera,Via San Donato,40.48732,16.25287,Giardino Di Comunità (San Mauro Forte)
4609,NO,SI,Luigi Coppola nel giardino di San Mauro Forte,260,Giardino Di Comunità,San Mauro Forte,Matera,Via San Donato,40.48732,16.25287,Giardino Di Comunità (San Mauro Forte)
2276,NO,NO,Luisa Tucciarello e Nicolò Pietrafesa Duo,223,El Tablao,Matera,Matera,Via Cesare Beccaria 10,40.6686586,16.6047758,El Tablao (Matera)
2895,NO,SI,Lukianon Acropoli Greco Lucana,554,Sala Angela Ferrara,Cersosimo,Potenza,Via Fratelli Bandiera 1,40.046474,16.347927,Sala Angela Ferrara (Cersosimo)
2222,NO,NO,Lumi di Chanukkah,233,Fondazione Sassi,Matera,Matera,Via San Giovanni Vecchio 24,40.668090,16.609282,Fondazione Sassi (Matera)
3386,NO,SI,Luna Italiana,456,Palazzo Lanfranchi,Matera,Matera,Piazza Giovanni Pascoli 1,40.663230,16.610342,Palazzo Lanfranchi (Matera)
3402,NO,SI,M.E.M.O.R.I,193,Chiesa Rupestre di Santa Maria De Armenis,Matera,Matera,Sasso Caveoso,40.6626052,16.6111184,Chiesa Rupestre di Santa Maria De Armenis (Matera)
2604,NO,SI,M.E.M.O.R.I,193,Chiesa Rupestre di Santa Maria De Armenis,Matera,Matera,Sasso Caveoso,40.6626052,16.6111184,Chiesa Rupestre di Santa Maria De Armenis (Matera)
2966,NO,SI,M.E.M.O.RI. - Presentazione collezione libri Hassan Echair,193,Chiesa Rupestre di Santa Maria De Armenis,Matera,Matera,Sasso Caveoso,40.6626052,16.6111184,Chiesa Rupestre di Santa Maria De Armenis (Matera)
2965,NO,SI,M.E.M.O.RI. – Apertura stanza delle Chimere,193,Chiesa Rupestre di Santa Maria De Armenis,Matera,Matera,Sasso Caveoso,40.6626052,16.6111184,Chiesa Rupestre di Santa Maria De Armenis (Matera)
2225,NO,NO,M.E.M.O.RI. Focus,327,Moon - Museo Officina Oggetti Narranti,Potenza,Potenza,Via Macchia San Luca 68/i,40.636328,15.841076,Moon - Museo Officina Oggetti Narranti (Potenza)
4537,NO,NO,MAAP Fiera di Arte Pubblica,266,Giardino San Giacomo,Matera,Matera,Via Benedetto Croce,40.673737,16.583980,Giardino San Giacomo (Matera)
3395,NO,NO,Macramè,532,Podus - Mangio Dunque Sono,Grottole,Matera,Contrada Bosco Coste,40.621176,16.410949,Podus - Mangio Dunque Sono (Grottole)
2376,NO,NO,Macramé live @1806Café,37,1806 Café,Matera,Matera,Via Lucana 238,40.6613076,16.61025,1806 Café (Matera)
